Date,Open,High,Low,Close,MA5,MA20,diff
2023-11-03,58.6,58.8,58.5,58.6,58.2,58.66,0.01
2023-11-10,60.45,60.5,60.3,60.5,58.7,58.75,0.09
2023-11-17,62.95,63.0,62.85,62.9,59.29,59.02,0.27
2023-11-24,63.35,63.4,63.3,63.4,60.33,59.26,0.24
2023-12-01,62.35,62.35,62.05,62.3,61.54,59.36,0.1
2023-12-08,62.4,62.4,62.1,62.2,62.26,59.51,0.15
2023-12-15,64.4,64.45,64.2,64.35,63.03,59.74,0.23
2023-12-22,65.8,65.85,65.65,65.7,63.59,60.0,0.26
2023-12-29,65.35,65.4,65.25,65.35,63.98,60.34,0.34
2024-01-05,63.1,63.2,63.0,63.1,64.14,60.67,0.33
