Date,Open,High,Low,Close,MA5,MA20,diff,max_20_WK,min_20_WK
2022-01-21,49.23,49.23,46.61,46.83,49.364,50.934,-0.188,55.15,46.83
2022-01-28,45.59,45.59,43.77,44.0,47.994,50.592,-0.342,55.15,44.0
2022-02-11,45.37,46.59,44.9,45.42,46.958,50.358,-0.234,55.15,44.0
2022-02-18,44.38,45.84,44.18,45.08,46.068,50.133,-0.225,55.15,44.0
2022-02-25,43.73,44.03,40.3,42.28,44.722,49.842,-0.291,55.15,42.28
2022-03-04,42.93,43.85,42.15,42.45,43.846,49.5,-0.342,55.15,42.28
2022-03-11,41.24,42.29,40.07,40.97,43.24,49.015,-0.485,55.15,40.97
2022-03-18,40.04,43.21,38.39,42.7,42.696,48.543,-0.472,55.15,40.97
2022-03-25,44.7,47.03,44.19,46.66,43.012,48.241,-0.302,55.15,40.97
2022-04-01,46.58,48.5,46.38,46.73,43.902,47.82,-0.421,54.1,40.97
2022-04-08,46.7,47.11,45.5,45.72,44.556,47.416,-0.404,54.1,40.97
2022-04-15,44.76,44.93,42.8,43.3,45.022,46.876,-0.54,53.1,40.97
2022-04-22,42.41,43.42,39.65,39.94,44.47,46.218,-0.658,51.35,39.94
2022-04-29,38.95,40.2,37.58,40.0,43.138,45.663,-0.555,51.35,39.94
2022-05-06,39.9,41.16,38.63,39.02,41.596,45.046,-0.617,50.85,39.02
2022-05-13,37.99,38.04,35.08,35.69,39.59,44.339,-0.707,50.85,35.69
2022-05-20,37.19,37.47,35.46,36.03,38.136,43.598,-0.741,50.6,35.69
2022-05-27,35.87,36.37,34.23,36.15,37.378,42.876,-0.722,49.53,35.69
2022-06-03,37.6,37.73,37.0,37.36,36.85,42.267,-0.609,49.01,35.69
2022-06-10,37.59,39.41,37.31,38.33,36.712,41.733,-0.534,46.83,35.69
2022-06-17,35.99,36.6,34.7,35.17,36.608,41.15,-0.583,46.73,35.17
